FID,FID_buffer,ROBIN_ID,LOCAL_ID,NAME,LATITUDE,LONGITUDE,AREA,AREA_SOURC,DATA_OWNER,COUNTRY,FREE_TEXT,DATA_PERMI,QUALITY,HYDROBELT,KOPPEN,BUFF_DIST,ORIG_FID,FID_CAMELS,gauge_id,gauge_name
0,275,DE00044,56,Konstanzer Ach at Thalkirchdorf,47.558254599999998,10.108747740000000,23.300000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,275,205,DE210320,Thalkirchdorf
1,96,DE00227,349,Hasel at Wehr,47.615426970000001,7.904526902000000,26.600000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,96,23,DE110280,Wehr
2,306,DE00075,99,Rottach at GreifenmŸhle,47.629272579999999,10.358324110000000,30.899999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,306,206,DE210350,Greifenmühle
3,290,DE00059,79,Obere Argen at Zwirkenberg,47.649675619999996,9.973069858000001,104.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,290,354,DE213670,Zwirkenberg
4,331,DE00008,11,Auerbach at Bad Tri§l,47.657962859999998,12.154949550000000,37.899999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,331,319,DE212870,Bad Trißl
5,307,DE00076,100,Rottach at Rottach,47.691768230000001,11.773432020000000,31.100000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,307,322,DE212980,Rottach
6,326,DE00003,4,Ach at Obernach_Ach,47.692671169999997,11.121743720000000,41.399999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,326,287,DE212300,Obernach_Ach
7,203,DE00099,140,Waldbach at Gšrisried,47.706510690000002,10.512005800000001,22.600000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,203,233,DE210830,Görisried
8,266,DE00035,47,Illach at Engen,47.727011330000003,10.893569910000000,32.299999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,266,232,DE210730,Engen_Illach
9,286,DE00055,70,Lothdorfer Bach at DŸrnhausen,47.730120890000002,11.301684320000000,12.900000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,286,285,DE212130,Dürnhausen
10,323,DE00092,122,Steinbach at Nu§dorf,47.747366450000001,12.183668000000001,28.300000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,323,320,DE212890,Nußdorf
11,284,DE00053,68,Lobach at Leuterschach,47.748897049999997,10.584399280000000,109.200000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,284,234,DE210840,Leuterschach
12,95,DE00226,348,Steina at IllmŸhle,47.750665880000000,8.343809311999999,49.829999999999998,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,95,21,DE110260,Illmühle
13,283,DE00052,67,Leubas at Stielings,47.768832990000000,10.338096280000000,59.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,283,207,DE210370,Stielings
14,312,DE00081,106,Schlierach at Miesbach,47.790012849999997,11.831201930000001,59.700000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,2,2,26,500.000000000000000,312,323,DE213010,Miesbach
15,254,DE00023,31,Geltnach at Hšrmanshofen,47.826578670000004,10.653360859999999,94.099999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,254,235,DE210860,Hörmanshofen
16,304,DE00073,95,Rote Traun at Wernleiten,47.828643640000003,12.649356080000000,92.599999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,304,334,DE213360,Wernleiten
17,291,DE00060,80,Oberteisendorfer Ache at Hammer,47.844009200000002,12.785691730000000,15.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,291,339,DE213490,Hammer
18,132,DE00235,361,Aitrach at Reichenhofen,47.847192890000002,9.967930019000001,151.610000000000014,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,132,55,DE110620,Reichenhofen
19,319,DE00088,118,Sims at Stephanskirchen,47.848996370000002,12.188529279999999,95.400000000000006,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,319,321,DE212900,Stephanskirchen
20,97,DE00228,350,Neumagen at UntermŸnstertal,47.861423309999999,7.759686469000000,66.879999999999995,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,97,25,DE110300,Untermünstertal
21,174,DE00277,416,Mšhlin at Oberambringen (US),47.914614950000001,7.740046605000000,41.600000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,174,24,DE110290,Oberambringen
22,260,DE00029,39,Gštzinger Achen at Unverzug,47.918079990000003,12.829208149999999,135.699999999999989,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,260,341,DE213510,Unverzug
23,94,DE00225,347,Langenordnach at Hšlzlebruck,47.927928100000003,8.191574866000000,47.039999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,94,20,DE110250,Hölzlebruck
24,163,DE00266,399,KrŠhenbach at Mšhringen,47.964551100000001,8.766257932000000,27.699999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,163,152,DE111780,Möhringen
25,213,DE00109,154,Windach at ObermŸhlhausen_Windach,47.983202040000002,11.002158070000000,33.600000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,213,291,DE212340,Obermühlhausen_Windach
26,91,DE00222,344,Elta at Tuttlingen,47.988924150000003,8.793539830000000,80.689999999999998,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,91,11,DE110140,Tuttlingen
27,134,DE00237,363,Breg at Hammereisenbach,47.990325769999998,8.353448877000000,163.629999999999995,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,134,60,DE110680,Hammereisenbach
28,136,DE00239,365,BŠra at Fridingen,48.035597490000001,8.943485407000001,134.969999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,136,65,DE110750,Fridingen
29,173,DE00276,415,Brigach at Villingen (US),48.059859179999997,8.464870235999999,100.280000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,173,197,DE112410,Villingen
30,137,DE00240,367,Rottum at Goppertshofen,48.087892779999997,9.941952118000000,57.310000000000002,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,137,67,DE110790,Goppertshofen
